State_Tribe_Territory,date,order_code,Face_Masks_Required_in_Public,Specific_counties,Source_of_Action,URL,Citation
AK,5/13/2020,1,NA,NA,NA,NA,NA
AK,5/14/2020,1,NA,NA,NA,NA,NA
AK,5/15/2020,1,NA,NA,NA,NA,NA
AK,5/16/2020,1,NA,NA,NA,NA,NA
AK,5/17/2020,1,NA,NA,NA,NA,NA
AK,5/18/2020,1,NA,NA,NA,NA,NA
AK,5/19/2020,1,NA,NA,NA,NA,NA
AK,5/20/2020,1,NA,NA,NA,NA,NA
AK,5/21/2020,1,NA,NA,NA,NA,NA
AK,5/22/2020,1,NA,NA,NA,NA,NA
AK,5/23/2020,1,NA,NA,NA,NA,NA
AK,5/24/2020,1,NA,NA,NA,NA,NA
AK,5/25/2020,1,NA,NA,NA,NA,NA
AK,5/26/2020,1,NA,NA,NA,NA,NA
AK,5/27/2020,1,NA,NA,NA,NA,NA
AK,5/28/2020,1,NA,NA,NA,NA,NA
AK,5/29/2020,1,NA,NA,NA,NA,NA
AK,5/30/2020,1,NA,NA,NA,NA,NA
AK,5/31/2020,1,NA,NA,NA,NA,NA
AK,6/1/2020,1,NA,NA,NA,NA,NA
AK,6/2/2020,1,NA,NA,NA,NA,NA
AK,6/3/2020,1,NA,NA,NA,NA,NA
AK,6/4/2020,1,NA,NA,NA,NA,NA
AK,6/5/2020,1,NA,NA,NA,NA,NA
AK,6/6/2020,1,NA,NA,NA,NA,NA
AK,6/7/2020,1,NA,NA,NA,NA,NA
AK,6/8/2020,1,NA,NA,NA,NA,NA
AK,6/9/2020,1,NA,NA,NA,NA,NA
AK,6/10/2020,1,NA,NA,NA,NA,NA
AK,6/11/2020,1,NA,NA,NA,NA,NA
AK,6/12/2020,1,NA,NA,NA,NA,NA
AK,6/13/2020,1,NA,NA,NA,NA,NA
AK,6/14/2020,1,NA,NA,NA,NA,NA
AK,6/15/2020,1,NA,NA,NA,NA,NA
AK,6/16/2020,1,NA,NA,NA,NA,NA
AK,6/17/2020,1,NA,NA,NA,NA,NA
AK,6/18/2020,1,NA,NA,NA,NA,NA
AK,6/19/2020,1,NA,NA,NA,NA,NA
AK,6/20/2020,1,NA,NA,NA,NA,NA
AK,6/21/2020,1,NA,NA,NA,NA,NA
AK,6/22/2020,1,NA,NA,NA,NA,NA
AK,6/23/2020,1,NA,NA,NA,NA,NA
AK,6/24/2020,1,NA,NA,NA,NA,NA
AK,6/25/2020,1,NA,NA,NA,NA,NA
AK,6/26/2020,1,NA,NA,NA,NA,NA
AK,6/27/2020,1,NA,NA,NA,NA,NA
AK,6/28/2020,1,NA,NA,NA,NA,NA
AK,6/29/2020,1,NA,NA,NA,NA,NA
AK,6/30/2020,1,NA,NA,NA,NA,NA
AK,7/1/2020,1,NA,NA,NA,NA,NA
AK,7/2/2020,1,NA,NA,NA,NA,NA
AK,7/3/2020,1,NA,NA,NA,NA,NA
AK,7/4/2020,1,NA,NA,NA,NA,NA
AK,7/5/2020,1,NA,NA,NA,NA,NA
AK,7/6/2020,1,NA,NA,NA,NA,NA
AK,7/7/2020,1,NA,NA,NA,NA,NA
AK,7/8/2020,1,NA,NA,NA,NA,NA
AK,7/9/2020,1,NA,NA,NA,NA,NA
AK,7/10/2020,1,NA,NA,NA,NA,NA
AK,7/11/2020,1,NA,NA,NA,NA,NA
AK,7/12/2020,1,NA,NA,NA,NA,NA
AK,7/13/2020,1,NA,NA,NA,NA,NA
AK,7/14/2020,1,NA,NA,NA,NA,NA
AK,7/15/2020,1,NA,NA,NA,NA,NA
AK,7/16/2020,1,NA,NA,NA,NA,NA
AK,7/17/2020,1,NA,NA,NA,NA,NA
AK,7/18/2020,1,NA,NA,NA,NA,NA
AK,7/19/2020,1,NA,NA,NA,NA,NA
AK,7/20/2020,1,NA,NA,NA,NA,NA
AK,7/21/2020,1,NA,NA,NA,NA,NA
AK,7/22/2020,1,NA,NA,NA,NA,NA
AK,7/23/2020,1,NA,NA,NA,NA,NA
AK,7/24/2020,1,NA,NA,NA,NA,NA
AK,7/25/2020,1,NA,NA,NA,NA,NA
AK,7/26/2020,1,NA,NA,NA,NA,NA
AK,7/27/2020,1,NA,NA,NA,NA,NA
AK,7/28/2020,1,NA,NA,NA,NA,NA
AK,7/29/2020,1,NA,NA,NA,NA,NA
AK,7/30/2020,1,NA,NA,NA,NA,NA
AK,7/31/2020,1,NA,NA,NA,NA,NA
AK,8/1/2020,1,NA,NA,NA,NA,NA
AK,8/2/2020,1,NA,NA,NA,NA,NA
AK,8/3/2020,1,NA,NA,NA,NA,NA
AK,8/4/2020,1,NA,NA,NA,NA,NA
AK,8/5/2020,1,NA,NA,NA,NA,NA
AK,8/6/2020,1,NA,NA,NA,NA,NA
AK,8/7/2020,1,NA,NA,NA,NA,NA
AK,8/8/2020,1,NA,NA,NA,NA,NA
AK,8/9/2020,1,NA,NA,NA,NA,NA
AK,8/10/2020,1,NA,NA,NA,NA,NA
AK,8/11/2020,1,NA,NA,NA,NA,NA
AK,8/12/2020,1,NA,NA,NA,NA,NA
AK,8/13/2020,1,NA,NA,NA,NA,NA
AK,8/14/2020,1,NA,NA,NA,NA,NA
AK,8/15/2020,1,NA,NA,NA,NA,NA
AK,8/16/2020,1,NA,NA,NA,NA,NA
AK,8/17/2020,1,NA,NA,NA,NA,NA
AK,8/18/2020,1,NA,NA,NA,NA,NA
AK,8/19/2020,1,NA,NA,NA,NA,NA
AK,8/20/2020,1,NA,NA,NA,NA,NA
AK,8/21/2020,1,NA,NA,NA,NA,NA
AK,8/22/2020,1,NA,NA,NA,NA,NA
AK,8/23/2020,1,NA,NA,NA,NA,NA
AK,8/24/2020,1,NA,NA,NA,NA,NA
AK,8/25/2020,1,NA,NA,NA,NA,NA
AK,8/26/2020,1,NA,NA,NA,NA,NA
AK,8/27/2020,1,NA,NA,NA,NA,NA
AK,8/28/2020,1,NA,NA,NA,NA,NA
AK,8/29/2020,1,NA,NA,NA,NA,NA
AK,8/30/2020,1,NA,NA,NA,NA,NA
AK,8/31/2020,1,NA,NA,NA,NA,NA
AK,9/1/2020,1,NA,NA,NA,NA,NA
AK,9/2/2020,1,NA,NA,NA,NA,NA
AK,9/3/2020,1,NA,NA,NA,NA,NA
AK,9/4/2020,1,NA,NA,NA,NA,NA
AK,9/5/2020,1,NA,NA,NA,NA,NA
AK,9/6/2020,1,NA,NA,NA,NA,NA
AK,9/7/2020,1,NA,NA,NA,NA,NA
AK,9/8/2020,1,NA,NA,NA,NA,NA
AK,9/9/2020,1,NA,NA,NA,NA,NA
AK,9/10/2020,1,NA,NA,NA,NA,NA
AK,9/11/2020,1,NA,NA,NA,NA,NA
AK,9/12/2020,1,NA,NA,NA,NA,NA
AK,9/13/2020,1,NA,NA,NA,NA,NA
AK,9/14/2020,1,NA,NA,NA,NA,NA
AK,9/15/2020,1,NA,NA,NA,NA,NA
AK,9/16/2020,1,NA,NA,NA,NA,NA
AK,9/17/2020,1,NA,NA,NA,NA,NA
AK,9/18/2020,1,NA,NA,NA,NA,NA
AK,9/19/2020,1,NA,NA,NA,NA,NA
AK,9/20/2020,1,NA,NA,NA,NA,NA
AK,9/21/2020,1,NA,NA,NA,NA,NA
AK,9/22/2020,1,NA,NA,NA,NA,NA
AK,9/23/2020,1,NA,NA,NA,NA,NA
AK,9/24/2020,1,NA,NA,NA,NA,NA
AK,9/25/2020,1,NA,NA,NA,NA,NA
AK,9/26/2020,1,NA,NA,NA,NA,NA
AK,9/27/2020,1,NA,NA,NA,NA,NA
AK,9/28/2020,1,NA,NA,NA,NA,NA
AK,9/29/2020,1,NA,NA,NA,NA,NA
AK,9/30/2020,1,NA,NA,NA,NA,NA
AK,10/1/2020,1,NA,NA,NA,NA,NA
AK,10/2/2020,1,NA,NA,NA,NA,NA
AK,10/3/2020,1,NA,NA,NA,NA,NA
AK,10/4/2020,1,NA,NA,NA,NA,NA
AK,10/5/2020,1,NA,NA,NA,NA,NA
AK,10/6/2020,1,NA,NA,NA,NA,NA
AK,10/7/2020,1,NA,NA,NA,NA,NA
AK,10/8/2020,1,NA,NA,NA,NA,NA
AK,10/9/2020,1,NA,NA,NA,NA,NA
AK,10/10/2020,1,NA,NA,NA,NA,NA
AK,10/11/2020,1,NA,NA,NA,NA,NA
AK,10/12/2020,1,NA,NA,NA,NA,NA
AK,10/13/2020,1,NA,NA,NA,NA,NA
AK,10/14/2020,1,NA,NA,NA,NA,NA
AK,10/15/2020,1,NA,NA,NA,NA,NA
AK,10/16/2020,1,NA,NA,NA,NA,NA
AK,10/17/2020,1,NA,NA,NA,NA,NA
AK,10/18/2020,1,NA,NA,NA,NA,NA
AK,10/19/2020,1,NA,NA,NA,NA,NA
AK,10/20/2020,1,NA,NA,NA,NA,NA
AK,10/21/2020,1,NA,NA,NA,NA,NA
AK,10/22/2020,1,NA,NA,NA,NA,NA
AK,10/23/2020,1,NA,NA,NA,NA,NA
AK,10/24/2020,1,NA,NA,NA,NA,NA
AK,10/25/2020,1,NA,NA,NA,NA,NA
AK,10/26/2020,1,NA,NA,NA,NA,NA
AK,10/27/2020,1,NA,NA,NA,NA,NA
AK,10/28/2020,1,NA,NA,NA,NA,NA
AK,10/29/2020,1,NA,NA,NA,NA,NA
AK,10/30/2020,1,NA,NA,NA,NA,NA
AK,10/31/2020,1,NA,NA,NA,NA,NA
AK,11/1/2020,1,NA,NA,NA,NA,NA
AK,11/2/2020,1,NA,NA,NA,NA,NA
AK,11/3/2020,1,NA,NA,NA,NA,NA
AK,11/4/2020,1,NA,NA,NA,NA,NA
AK,11/5/2020,1,NA,NA,NA,NA,NA
AK,11/6/2020,1,NA,NA,NA,NA,NA
AK,11/7/2020,1,NA,NA,NA,NA,NA
AK,11/8/2020,1,NA,NA,NA,NA,NA
AK,11/9/2020,1,NA,NA,NA,NA,NA
AK,11/10/2020,1,NA,NA,NA,NA,NA
AK,11/11/2020,1,NA,NA,NA,NA,NA
AK,11/12/2020,1,NA,NA,NA,NA,NA
AK,11/13/2020,1,NA,NA,NA,NA,NA
AK,11/14/2020,1,NA,NA,NA,NA,NA
AK,11/15/2020,1,NA,NA,NA,NA,NA
AK,11/16/2020,1,NA,NA,NA,NA,NA
AK,11/17/2020,1,NA,NA,NA,NA,NA
AK,11/18/2020,1,NA,NA,NA,NA,NA
AK,11/19/2020,1,NA,NA,NA,NA,NA
AK,11/20/2020,1,NA,NA,NA,NA,NA
AK,11/21/2020,1,NA,NA,NA,NA,NA
AK,11/22/2020,1,NA,NA,NA,NA,NA
AK,11/23/2020,1,NA,NA,NA,NA,NA
AK,11/24/2020,1,NA,NA,NA,NA,NA
AK,11/25/2020,1,NA,NA,NA,NA,NA
AK,11/26/2020,1,NA,NA,NA,NA,NA
AK,11/27/2020,1,NA,NA,NA,NA,NA
AK,11/28/2020,1,NA,NA,NA,NA,NA
AK,11/29/2020,1,NA,NA,NA,NA,NA
AK,11/30/2020,1,NA,NA,NA,NA,NA
AK,12/1/2020,1,NA,NA,NA,NA,NA
AK,12/2/2020,1,NA,NA,NA,NA,NA
AK,12/3/2020,1,NA,NA,NA,NA,NA
AK,12/4/2020,1,NA,NA,NA,NA,NA
AK,12/5/2020,1,NA,NA,NA,NA,NA
AK,12/6/2020,1,NA,NA,NA,NA,NA
AK,12/7/2020,1,NA,NA,NA,NA,NA
AK,12/8/2020,1,NA,NA,NA,NA,NA
AK,12/9/2020,1,NA,NA,NA,NA,NA
AK,12/10/2020,1,NA,NA,NA,NA,NA
AK,12/11/2020,1,NA,NA,NA,NA,NA
AK,12/12/2020,1,NA,NA,NA,NA,NA
AK,12/13/2020,1,NA,NA,NA,NA,NA
AK,12/14/2020,1,NA,NA,NA,NA,NA
AK,12/15/2020,1,NA,NA,NA,NA,NA
AK,12/16/2020,1,NA,NA,NA,NA,NA
AK,12/17/2020,1,NA,NA,NA,NA,NA
AK,12/18/2020,1,NA,NA,NA,NA,NA
AK,12/19/2020,1,NA,NA,NA,NA,NA
AK,12/20/2020,1,NA,NA,NA,NA,NA
AK,12/21/2020,1,NA,NA,NA,NA,NA
AK,12/22/2020,1,NA,NA,NA,NA,NA
AK,12/23/2020,1,NA,NA,NA,NA,NA
AK,12/24/2020,1,NA,NA,NA,NA,NA
AK,12/25/2020,1,NA,NA,NA,NA,NA
AK,12/26/2020,1,NA,NA,NA,NA,NA
AK,12/27/2020,1,NA,NA,NA,NA,NA
AK,12/28/2020,1,NA,NA,NA,NA,NA
AK,12/29/2020,1,NA,NA,NA,NA,NA
AK,12/30/2020,1,NA,NA,NA,NA,NA
AK,12/31/2020,1,NA,NA,NA,NA,NA
AK,1/1/2021,1,NA,NA,NA,NA,NA
AK,1/2/2021,1,NA,NA,NA,NA,NA
AK,1/3/2021,1,NA,NA,NA,NA,NA
AK,1/4/2021,1,NA,NA,NA,NA,NA
AK,1/5/2021,1,NA,NA,NA,NA,NA
AK,1/6/2021,1,NA,NA,NA,NA,NA
AK,1/7/2021,1,NA,NA,NA,NA,NA
AK,1/8/2021,1,NA,NA,NA,NA,NA
AK,1/9/2021,1,NA,NA,NA,NA,NA
AK,1/10/2021,1,NA,NA,NA,NA,NA
AK,1/11/2021,1,NA,NA,NA,NA,NA
AK,1/12/2021,1,NA,NA,NA,NA,NA
AK,1/13/2021,1,NA,NA,NA,NA,NA
AK,1/14/2021,1,NA,NA,NA,NA,NA
AK,1/15/2021,1,NA,NA,NA,NA,NA
AK,1/16/2021,1,NA,NA,NA,NA,NA
AK,1/17/2021,1,NA,NA,NA,NA,NA
AK,1/18/2021,1,NA,NA,NA,NA,NA
AK,1/19/2021,1,NA,NA,NA,NA,NA
AK,1/20/2021,1,NA,NA,NA,NA,NA
AK,1/21/2021,1,NA,NA,NA,NA,NA
AK,1/22/2021,1,NA,NA,NA,NA,NA
AK,1/23/2021,1,NA,NA,NA,NA,NA
AK,1/24/2021,1,NA,NA,NA,NA,NA
AK,1/25/2021,1,NA,NA,NA,NA,NA
AK,1/26/2021,1,NA,NA,NA,NA,NA
AK,1/27/2021,1,NA,NA,NA,NA,NA
AK,1/28/2021,1,NA,NA,NA,NA,NA
AK,1/29/2021,1,NA,NA,NA,NA,NA
AK,1/30/2021,1,NA,NA,NA,NA,NA
AK,1/31/2021,1,NA,NA,NA,NA,NA
AK,2/1/2021,1,NA,NA,NA,NA,NA
AK,2/2/2021,1,NA,NA,NA,NA,NA
AK,2/3/2021,1,NA,NA,NA,NA,NA
AK,2/4/2021,1,NA,NA,NA,NA,NA
AK,2/5/2021,1,NA,NA,NA,NA,NA
AK,2/6/2021,1,NA,NA,NA,NA,NA
AK,2/7/2021,1,NA,NA,NA,NA,NA
AK,2/8/2021,1,NA,NA,NA,NA,NA
AK,2/9/2021,1,NA,NA,NA,NA,NA
AK,2/10/2021,1,NA,NA,NA,NA,NA
AK,2/11/2021,1,NA,NA,NA,NA,NA
AK,2/12/2021,1,NA,NA,NA,NA,NA
AK,2/13/2021,1,NA,NA,NA,NA,NA
AK,2/14/2021,1,NA,NA,NA,NA,NA
AK,2/15/2021,1,NA,NA,NA,NA,NA
AK,2/16/2021,1,NA,NA,NA,NA,NA
AK,2/17/2021,1,NA,NA,NA,NA,NA
AK,2/18/2021,1,NA,NA,NA,NA,NA
AK,2/19/2021,1,NA,NA,NA,NA,NA
AK,2/20/2021,1,NA,NA,NA,NA,NA
AK,2/21/2021,1,NA,NA,NA,NA,NA
AK,2/22/2021,1,NA,NA,NA,NA,NA
AK,2/23/2021,1,NA,NA,NA,NA,NA
AK,2/24/2021,1,NA,NA,NA,NA,NA
AK,2/25/2021,1,NA,NA,NA,NA,NA
AK,2/26/2021,1,NA,NA,NA,NA,NA
AK,2/27/2021,1,NA,NA,NA,NA,NA
AK,2/28/2021,1,NA,NA,NA,NA,NA
AK,3/1/2021,1,NA,NA,NA,NA,NA
AK,3/2/2021,1,NA,NA,NA,NA,NA
AK,3/3/2021,1,NA,NA,NA,NA,NA
AK,3/4/2021,1,NA,NA,NA,NA,NA
AK,3/5/2021,1,NA,NA,NA,NA,NA
AK,3/6/2021,1,NA,NA,NA,NA,NA
AK,3/7/2021,1,NA,NA,NA,NA,NA
AK,3/8/2021,1,NA,NA,NA,NA,NA
AK,3/9/2021,1,NA,NA,NA,NA,NA
AK,3/10/2021,1,NA,NA,NA,NA,NA
AK,3/11/2021,1,NA,NA,NA,NA,NA
AK,3/12/2021,1,NA,NA,NA,NA,NA
AK,3/13/2021,1,NA,NA,NA,NA,NA
AK,3/14/2021,1,NA,NA,NA,NA,NA
AK,3/15/2021,1,NA,NA,NA,NA,NA
AK,3/16/2021,1,NA,NA,NA,NA,NA
AK,3/17/2021,1,NA,NA,NA,NA,NA
AK,3/18/2021,1,NA,NA,NA,NA,NA
AK,3/19/2021,1,NA,NA,NA,NA,NA
AK,3/20/2021,1,NA,NA,NA,NA,NA
AK,3/21/2021,1,NA,NA,NA,NA,NA
AK,3/22/2021,1,NA,NA,NA,NA,NA
AK,3/23/2021,1,NA,NA,NA,NA,NA
AK,3/24/2021,1,NA,NA,NA,NA,NA
AK,3/25/2021,1,NA,NA,NA,NA,NA
AK,3/26/2021,1,NA,NA,NA,NA,NA
AK,3/27/2021,1,NA,NA,NA,NA,NA
AK,3/28/2021,1,NA,NA,NA,NA,NA
AK,3/29/2021,1,NA,NA,NA,NA,NA
AK,3/30/2021,1,NA,NA,NA,NA,NA
AK,3/31/2021,1,NA,NA,NA,NA,NA
AK,4/1/2021,1,NA,NA,NA,NA,NA
AK,4/2/2021,1,NA,NA,NA,NA,NA
AK,4/3/2021,1,NA,NA,NA,NA,NA
AK,4/4/2021,1,NA,NA,NA,NA,NA
AK,4/5/2021,1,NA,NA,NA,NA,NA
AK,4/6/2021,1,NA,NA,NA,NA,NA
AK,4/7/2021,1,NA,NA,NA,NA,NA
AK,4/8/2021,1,NA,NA,NA,NA,NA
AK,4/9/2021,1,NA,NA,NA,NA,NA
AK,4/10/2021,1,NA,NA,NA,NA,NA
AK,4/11/2021,1,NA,NA,NA,NA,NA
AK,4/12/2021,1,NA,NA,NA,NA,NA
AK,4/13/2021,1,NA,NA,NA,NA,NA
AK,4/14/2021,1,NA,NA,NA,NA,NA
AK,4/15/2021,1,NA,NA,NA,NA,NA
AK,4/16/2021,1,NA,NA,NA,NA,NA
AK,4/17/2021,1,NA,NA,NA,NA,NA
AK,4/18/2021,1,NA,NA,NA,NA,NA
AK,4/19/2021,1,NA,NA,NA,NA,NA
AK,4/20/2021,1,NA,NA,NA,NA,NA
AK,4/21/2021,1,NA,NA,NA,NA,NA
AK,4/22/2021,1,NA,NA,NA,NA,NA
AK,4/23/2021,1,NA,NA,NA,NA,NA
AK,4/24/2021,1,NA,NA,NA,NA,NA
AK,4/25/2021,1,NA,NA,NA,NA,NA
AK,4/26/2021,1,NA,NA,NA,NA,NA
AK,4/27/2021,1,NA,NA,NA,NA,NA
AK,4/28/2021,1,NA,NA,NA,NA,NA
AK,4/29/2021,1,NA,NA,NA,NA,NA
AK,4/30/2021,1,NA,NA,NA,NA,NA
AK,5/1/2021,1,NA,NA,NA,NA,NA
AK,5/2/2021,1,NA,NA,NA,NA,NA
AK,5/3/2021,1,NA,NA,NA,NA,NA
AK,5/4/2021,1,NA,NA,NA,NA,NA
AK,5/5/2021,1,NA,NA,NA,NA,NA
AK,5/6/2021,1,NA,NA,NA,NA,NA
AK,5/7/2021,1,NA,NA,NA,NA,NA
AK,5/8/2021,1,NA,NA,NA,NA,NA
AK,5/9/2021,1,NA,NA,NA,NA,NA
AK,5/10/2021,1,NA,NA,NA,NA,NA
AK,5/11/2021,1,NA,NA,NA,NA,NA
AK,5/12/2021,1,NA,NA,NA,NA,NA
AK,5/13/2021,1,NA,NA,NA,NA,NA
AK,5/14/2021,1,NA,NA,NA,NA,NA
AK,5/15/2021,1,NA,NA,NA,NA,NA
AK,5/16/2021,1,NA,NA,NA,NA,NA
AK,5/17/2021,1,NA,NA,NA,NA,NA
AK,5/18/2021,1,NA,NA,NA,NA,NA
AK,5/19/2021,1,NA,NA,NA,NA,NA
AK,5/20/2021,1,NA,NA,NA,NA,NA
AK,5/21/2021,1,NA,NA,NA,NA,NA
AK,5/22/2021,1,NA,NA,NA,NA,NA
AK,5/23/2021,1,NA,NA,NA,NA,NA
AK,5/24/2021,1,NA,NA,NA,NA,NA
AK,5/25/2021,1,NA,NA,NA,NA,NA
AK,5/26/2021,1,NA,NA,NA,NA,NA
AK,5/27/2021,1,NA,NA,NA,NA,NA
AK,5/28/2021,1,NA,NA,NA,NA,NA
AK,5/29/2021,1,NA,NA,NA,NA,NA
AK,5/30/2021,1,NA,NA,NA,NA,NA
AK,5/31/2021,1,NA,NA,NA,NA,NA
AK,6/1/2021,1,NA,NA,NA,NA,NA
AK,6/2/2021,1,NA,NA,NA,NA,NA
AK,6/3/2021,1,NA,NA,NA,NA,NA
AK,6/4/2021,1,NA,NA,NA,NA,NA
AK,6/5/2021,1,NA,NA,NA,NA,NA
AK,6/6/2021,1,NA,NA,NA,NA,NA
AK,6/7/2021,1,NA,NA,NA,NA,NA
AK,6/8/2021,1,NA,NA,NA,NA,NA
AK,6/9/2021,1,NA,NA,NA,NA,NA
AK,6/10/2021,1,NA,NA,NA,NA,NA
AK,6/11/2021,1,NA,NA,NA,NA,NA
AK,6/12/2021,1,NA,NA,NA,NA,NA
AK,6/13/2021,1,NA,NA,NA,NA,NA
AK,6/14/2021,1,NA,NA,NA,NA,NA
AK,6/15/2021,1,NA,NA,NA,NA,NA
AK,6/16/2021,1,NA,NA,NA,NA,NA
AK,6/17/2021,1,NA,NA,NA,NA,NA
AK,6/18/2021,1,NA,NA,NA,NA,NA
AK,6/19/2021,1,NA,NA,NA,NA,NA
AK,6/20/2021,1,NA,NA,NA,NA,NA
AK,6/21/2021,1,NA,NA,NA,NA,NA
AK,6/22/2021,1,NA,NA,NA,NA,NA
AK,6/23/2021,1,NA,NA,NA,NA,NA
AK,6/24/2021,1,NA,NA,NA,NA,NA
AK,6/25/2021,1,NA,NA,NA,NA,NA
AK,6/26/2021,1,NA,NA,NA,NA,NA
AK,6/27/2021,1,NA,NA,NA,NA,NA
AK,6/28/2021,1,NA,NA,NA,NA,NA
AK,6/29/2021,1,NA,NA,NA,NA,NA
AK,6/30/2021,1,NA,NA,NA,NA,NA
AK,7/1/2021,1,NA,NA,NA,NA,NA
AK,7/2/2021,1,NA,NA,NA,NA,NA
AK,7/3/2021,1,NA,NA,NA,NA,NA
AK,7/4/2021,1,NA,NA,NA,NA,NA
AK,7/5/2021,1,NA,NA,NA,NA,NA
AK,7/6/2021,1,NA,NA,NA,NA,NA
AK,7/7/2021,1,NA,NA,NA,NA,NA
AK,7/8/2021,1,NA,NA,NA,NA,NA
AK,7/9/2021,1,NA,NA,NA,NA,NA
AK,7/10/2021,1,NA,NA,NA,NA,NA
AK,7/11/2021,1,NA,NA,NA,NA,NA
AK,7/12/2021,1,NA,NA,NA,NA,NA
AK,7/13/2021,1,NA,NA,NA,NA,NA
AK,7/14/2021,1,NA,NA,NA,NA,NA
AK,7/15/2021,1,NA,NA,NA,NA,NA
AK,7/16/2021,1,NA,NA,NA,NA,NA
AK,7/17/2021,1,NA,NA,NA,NA,NA
AK,7/18/2021,1,NA,NA,NA,NA,NA
AK,7/19/2021,1,NA,NA,NA,NA,NA
AK,7/20/2021,1,NA,NA,NA,NA,NA
AK,7/21/2021,1,NA,NA,NA,NA,NA
AK,7/22/2021,1,NA,NA,NA,NA,NA
AK,7/23/2021,1,NA,NA,NA,NA,NA
AK,7/24/2021,1,NA,NA,NA,NA,NA
AK,7/25/2021,1,NA,NA,NA,NA,NA
AK,7/26/2021,1,NA,NA,NA,NA,NA
AK,7/27/2021,1,NA,NA,NA,NA,NA
AK,7/28/2021,1,NA,NA,NA,NA,NA
AK,7/29/2021,1,NA,NA,NA,NA,NA
AK,7/30/2021,1,NA,NA,NA,NA,NA
AK,7/31/2021,1,NA,NA,NA,NA,NA
AK,8/1/2021,1,NA,NA,NA,NA,NA
AK,8/2/2021,1,NA,NA,NA,NA,NA
AK,8/3/2021,1,NA,NA,NA,NA,NA
AK,8/4/2021,1,NA,NA,NA,NA,NA
AK,8/5/2021,1,NA,NA,NA,NA,NA
AK,8/6/2021,1,NA,NA,NA,NA,NA
AK,8/7/2021,1,NA,NA,NA,NA,NA
AK,8/8/2021,1,NA,NA,NA,NA,NA
AK,8/9/2021,1,NA,NA,NA,NA,NA
AK,8/10/2021,1,NA,NA,NA,NA,NA
AK,8/11/2021,1,NA,NA,NA,NA,NA
AK,8/12/2021,1,NA,NA,NA,NA,NA
AK,8/13/2021,1,NA,NA,NA,NA,NA
AK,8/14/2021,1,NA,NA,NA,NA,NA
AK,8/15/2021,1,NA,NA,NA,NA,NA
AL,4/8/2020,1,NA,NA,NA,NA,NA
AL,4/9/2020,1,NA,NA,NA,NA,NA
AL,4/10/2020,1,NA,NA,NA,NA,NA
AL,4/11/2020,1,NA,NA,NA,NA,NA
AL,4/12/2020,1,NA,NA,NA,NA,NA
AL,4/13/2020,1,NA,NA,NA,NA,NA
AL,4/14/2020,1,NA,NA,NA,NA,NA
AL,4/15/2020,1,NA,NA,NA,NA,NA
AL,4/16/2020,1,NA,NA,NA,NA,NA
AL,4/17/2020,1,NA,NA,NA,NA,NA
AL,4/18/2020,1,NA,NA,NA,NA,NA
AL,4/19/2020,1,NA,NA,NA,NA,NA
AL,4/20/2020,1,NA,NA,NA,NA,NA
AL,4/21/2020,1,NA,NA,NA,NA,NA
AL,4/22/2020,1,NA,NA,NA,NA,NA
AL,4/23/2020,1,NA,NA,NA,NA,NA
AL,4/24/2020,1,NA,NA,NA,NA,NA
AL,4/25/2020,1,NA,NA,NA,NA,NA
AL,4/26/2020,1,NA,NA,NA,NA,NA
